FID,COUNTYFP,NAME,Erosion,DolarsCCSeed,CornNoTill,SoyNoTill,CornSyNoTill,CornConvTill,SoyConvTill,PercentCCResidue,GovProgramAcres
1,1,Adams,9.2,196000,7.3,34.5,20.9,10.9,2.2,3.2,14342
2,3,Alexander,0,23000,0,29.2,14.6,96.7,66.7,0.7,1211
3,5,Bond,4.5,45000,0.6,18.6,9.6,28.6,3.3,1.8,5822
4,7,Boone,6.3,27000,3.6,25,14.3,62.5,10.8,0,410
5,9,Brown,55.2,127000,6.9,34.8,20.85,51.1,11.2,1.9,13485
6,11,Bureau,0.6,256000,3.4,19.6,11.5,18.9,3.7,0.6,11849
7,13,Calhoun,9,24000,22,45.7,33.85,47.5,15.2,0,10067
8,15,Carroll,0.4,73000,10.3,38.8,24.55,4.9,0.9,0,11178
9,17,Cass,13.1,69000,50.3,53.2,51.75,0,0,0.6,11313
10,19,Champaign,0.6,265000,0.3,23.7,12,93.6,20.4,1.1,8685
11,21,Christian,0,80000,0,2.8,1.4,98.4,0,0,8674
12,23,Clark,5.3,38000,0.9,8.7,4.8,94.1,20.7,0.2,7654
13,25,Clay,12.7,92000,5,46.1,25.55,70.6,20.1,0.7,15357
14,27,Clinton,7,183000,3.3,16.5,9.9,95.4,70.6,1.7,4980
15,29,Coles,17.7,30000,0,10.8,5.4,76.2,16.4,1.3,6690
16,31,Cook,0,14000,0,0,0,0,0,0,171
17,33,Crawford,27,98000,0,16,8,60.3,26.2,17.2,10669
18,35,Cumberland,7.5,113000,5.8,16,10.9,89.1,28.8,2,10779
19,39,De Witt,3,31000,0.3,14.8,7.55,85,9.3,2.2,2835
20,37,DeKalb,6.5,190000,5.6,22.3,13.95,47.5,4.1,0.6,4554
21,41,Douglas,0.2,75000,0.4,11.5,5.95,93,11.5,0.6,2920
22,43,DuPage,0,0,0,0,0,0,0,0,336
23,45,Edgar,2.3,93000,10.1,42.2,26.15,78.9,1,3.2,5381
24,47,Edwards,28.6,53000,32.8,71.1,51.95,47.2,7.8,0.9,4504
25,49,Effingham,13.4,211000,0.9,18.4,9.65,94.6,29.4,3.9,15394
26,51,Fayette,43.5,83000,2.8,21.5,12.15,93.3,30,2.7,11693
27,53,Ford,1.5,120000,0.6,26.7,13.65,95.4,28.9,1.8,7036
28,55,Franklin,57.3,58000,8.4,53.6,31,57.9,8.7,12.3,9072
29,57,Fulton,17.8,278000,10.2,65,37.6,0.3,1.2,0.2,8734
30,59,Gallatin,9.9,43000,5,30.5,17.75,75.1,45.3,2,4327
31,61,Greene,0,198000,11.9,50.3,31.1,86.2,13.9,0,12938
32,63,Grundy,1,55000,11.3,47.7,29.5,69.7,5.3,0.2,2511
33,65,Hamilton,1.7,41000,27.4,56.9,42.15,62.8,20.9,6.3,18214
34,67,Hancock,66.6,393000,4.3,52,28.15,24.4,4.1,2.2,13888
35,69,Hardin,10.4,2000,0,12.5,6.25,88.9,66.7,0,3709
36,71,Henderson,17.1,107000,12,40.2,26.1,4.7,0.5,0,4037
37,73,Henry,0,162000,44.2,37.9,41.05,14.7,1.1,1,16564
38,75,Iroquois,7.5,697000,6.1,30.5,18.3,59.4,4.8,1.5,20429
39,77,Jackson,0,161000,20.2,35.4,27.8,76.9,50.5,1.3,7927
40,79,Jasper,19.7,367000,8.1,25.2,16.65,86.7,23.4,1.6,11197
41,81,Jefferson,62.9,134000,9.2,52,30.6,51.3,11.1,10,16231
42,83,Jersey,13.6,47000,18.7,52,35.35,29.2,3,0.2,6514
43,85,Jo Daviess,23.8,136000,15.3,45.2,30.25,23.6,3.5,2.4,15889
44,87,Johnson,8,32000,78.6,71.9,75.25,0,4.7,0,14379
45,89,Kane,8,97000,6.4,23.4,14.9,65.7,10.6,0.3,430
46,91,Kankakee,0.8,223000,3.9,40.2,22.05,68.6,5.9,0.8,3214
47,93,Kendall,13.3,37000,0.4,36,18.2,46.3,2.5,0,257
48,95,Knox,2.2,449000,31.2,77.6,54.4,1.7,0,0.7,10753
49,97,Lake,0,8000,0,0,0,0,0,0,164
50,99,LaSalle,8.2,359000,14.4,35.5,24.95,68.1,24.2,0.2,7510
51,101,Lawrence,4.4,121000,7.7,44.4,26.05,27,12.9,14.3,5175
52,103,Lee,7.6,345000,6.2,22.9,14.55,16,3.6,1.2,4485
53,105,Livingston,11.5,208000,12.6,16.2,14.4,65.2,8.3,0.8,11807
54,107,Logan,4.4,698000,36.2,30.3,33.25,5,0.4,0.7,9081
55,115,Macon,0,157000,0.3,17.1,8.7,86.3,8.9,1.6,2829
56,117,Macoupin,18.3,184000,4,23.4,13.7,72.3,11.4,2.3,16053
57,119,Madison,15.9,115000,0.6,2.4,1.5,77.1,18.6,0.5,4791
58,121,Marion,7.4,71000,6.7,34.4,20.55,86.6,22.5,3,1880
59,123,Marshall,2.5,331000,22.8,33,27.9,0.6,0.5,5,2533
60,125,Mason,1.7,194000,6.4,43,24.7,0.7,0,0.5,21043
61,127,Massac,10.2,116000,63,85,74,28.3,8.1,4.4,8733
62,109,McDonough,23.3,179000,29.4,56.5,42.95,30.2,2.7,0.8,3693
63,111,McHenry,6.4,52000,28.7,28.2,28.45,45,12,1.5,2111
64,113,McLean,0.3,540000,9,37.1,23.05,26.5,1.3,0.7,9744
65,129,Menard,5.8,51000,40.9,47.4,44.15,12.9,1.8,1.9,8350
66,131,Mercer,18.1,103000,44.2,60.3,52.25,0.9,1,1.4,11921
67,133,Monroe,0.2,44000,2.4,20.3,11.35,9.6,11.6,5.7,2216
68,135,Montgomery,0,325000,2.1,21.3,11.7,73.7,10.6,2.4,16410
69,137,Morgan,1.3,327000,15.4,33.5,24.45,42,3.5,3,6582
70,139,Moultrie,0,87000,0.4,5.6,3,99.6,1.3,0,2464
71,141,Ogle,15.6,91000,10,28.7,19.35,36,5.6,1.5,7305
72,143,Peoria,19.7,79000,14.8,64.3,39.55,5.7,1.3,1.1,5801
73,145,Perry,31.6,63000,37.1,65.6,51.35,5,7.9,2.8,4270
74,147,Piatt,0,87000,0.3,13.7,7,91.2,4.3,0,2182
75,149,Pike,17.6,124000,6.3,38.5,22.4,12.9,6.3,0.8,28423
76,151,Pope,3.6,41000,25.5,46,35.75,51.1,27,0,9772
77,153,Pulaski,2,55000,34.8,71.1,52.95,65.2,25.6,12.1,5809
78,155,Putnam,3.8,78000,36,29.1,32.55,0,0,11.3,1039
79,157,Randolph,0.3,125000,14.9,83.7,49.3,62.8,3.1,0,7134
80,159,Richland,4.1,259000,11.6,44,27.8,83.3,16,1.5,5883
81,161,Rock Island,1.3,197000,47.9,71.6,59.75,8.3,1.2,1.3,6552
82,165,Saline,10.8,63000,26.9,63.1,45,43.5,13.7,2.2,6200
83,167,Sangamon,0.8,111000,2.5,15.7,9.1,81.6,26,0.6,9128
84,169,Schuyler,2.9,53000,12.9,42.5,27.7,77.1,8.6,1.9,8489
85,171,Scott,8.1,24000,29.4,60.4,44.9,12.3,0.5,1.3,4421
86,173,Shelby,1.5,164000,0,5.4,2.7,64.7,7.3,0.1,11922
87,163,St. Clair,6,83000,0.9,28,14.45,20.2,4.2,5.4,1899
88,175,Stark,22.8,83000,18.7,46.3,32.5,0,0,0.8,3405
89,177,Stephenson,1.9,186000,15.6,55.4,35.5,15.8,2.6,0.6,9207
90,179,Tazewell,11.8,175000,30.2,32.9,31.55,14.9,2.2,2.6,9506
91,181,Union,24.8,368000,13.9,60.7,37.3,47.2,21.4,7.5,19038
92,183,Vermilion,1.7,157000,0,4.1,2.05,86.6,15.5,1,10621
93,185,Wabash,3.3,208000,4.2,37.9,21.05,63,11.1,0.4,2563
94,187,Warren,17.1,149000,24.9,43.1,34,3.9,1.4,0,3841
95,189,Washington,7,125000,3.9,26.5,15.2,89.8,30.9,1.9,5016
96,191,Wayne,14.4,286000,15.3,56.9,36.1,59.7,19.9,2.3,23465
97,193,White,46.2,113000,30.6,66.4,48.5,50,11.2,2.8,12041
98,195,Whiteside,42.2,276000,12.7,38.2,25.45,17.8,4.1,4.5,17516
99,197,Will,1.3,57000,1.8,30.1,15.95,13,1.6,0.3,539
100,199,Williamson,14.3,123000,18.5,37.5,28,55.6,22.5,5.8,7367
101,201,Winnebago,5.9,56000,33.7,52.8,43.25,9.6,0.8,1.4,8433
102,203,Woodford,4.7,239000,18.4,39.6,29,54.7,7.8,4.7,7742
